training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.16312e+00 1.07165e+00
1 1.04029e+00 9.33004e-01
2 9.61095e-01 9.78110e-01
3 9.85690e-01 9.20771e-01
4 9.59685e-01 9.24542e-01
5 9.66260e-01 9.11909e-01
6 9.52165e-01 9.05584e-01
7 9.57874e-01 9.18937e-01
8 9.48938e-01 9.11079e-01
9 9.51316e-01 9.02139e-01
10 9.39914e-01 9.30170e-01
11 9.54765e-01 9.02081e-01
12 9.42812e-01 8.99698e-01
13 9.21462e-01 9.03905e-01
14 9.28736e-01 8.89414e-01
15 9.34268e-01 8.96442e-01
16 9.35613e-01 9.01644e-01
17 9.37400e-01 8.83205e-01
18 9.22439e-01 8.84198e-01
19 9.26953e-01 8.98146e-01
20 9.26967e-01 8.89172e-01
21 9.38461e-01 8.97731e-01
22 9.29092e-01 8.81156e-01
23 9.18888e-01 8.85624e-01
24 9.18694e-01 8.77503e-01
25 9.28058e-01 8.83340e-01
26 9.15597e-01 8.83270e-01
27 9.25655e-01 8.84423e-01
28 9.15307e-01 8.84009e-01
29 9.10976e-01 8.84766e-01
30 9.18090e-01 8.69530e-01
31 9.09781e-01 8.74908e-01
32 9.12058e-01 9.09223e-01
33 9.10154e-01 8.82857e-01
34 9.10129e-01 8.84654e-01
35 8.91917e-01 8.59971e-01
36 8.99907e-01 8.99045e-01
37 9.10727e-01 9.03459e-01
38 9.00700e-01 8.69833e-01
39 9.05042e-01 8.82047e-01
40 9.08120e-01 8.81001e-01
41 9.06483e-01 8.70764e-01
42 9.01008e-01 8.78047e-01
43 9.12318e-01 9.03487e-01
44 8.95244e-01 8.59638e-01
45 9.01218e-01 8.65785e-01
46 9.08588e-01 8.68426e-01
47 9.06584e-01 8.69160e-01
48 8.94819e-01 8.69697e-01
49 8.99068e-01 8.60130e-01
50 8.92718e-01 8.55775e-01
51 8.82581e-01 8.83213e-01
52 9.00697e-01 8.60877e-01
53 9.05752e-01 8.68663e-01
54 8.94514e-01 8.64196e-01
55 8.91741e-01 9.02550e-01
56 9.02377e-01 8.59083e-01
57 8.90276e-01 8.48940e-01
58 8.95657e-01 8.65897e-01
59 8.84154e-01 8.63031e-01
60 8.90391e-01 8.50803e-01
61 8.99192e-01 8.60678e-01
62 8.96192e-01 8.60605e-01
63 8.76628e-01 8.64816e-01
64 8.85702e-01 8.56405e-01
65 8.80725e-01 8.49777e-01
66 8.92549e-01 8.54766e-01
67 8.92875e-01 8.67299e-01
68 8.82756e-01 8.58194e-01
69 8.99320e-01 8.64707e-01
70 8.94651e-01 8.40810e-01
71 8.77538e-01 8.44263e-01
72 8.84522e-01 8.71309e-01
73 8.87253e-01 8.57529e-01
74 8.77284e-01 8.47554e-01
75 8.80072e-01 8.59331e-01
76 8.87180e-01 8.44569e-01
77 8.81106e-01 8.63414e-01
78 8.81102e-01 8.46886e-01
79 8.78942e-01 8.50656e-01
80 8.69144e-01 8.53196e-01
