training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 1.26950e+00 1.17117e+00
1 1.11787e+00 1.09904e+00
2 1.07982e+00 1.06780e+00
3 1.05984e+00 1.05810e+00
4 1.05023e+00 1.03984e+00
5 1.04962e+00 1.03582e+00
6 1.05005e+00 1.03000e+00
7 1.04245e+00 1.04381e+00
8 1.04171e+00 1.02601e+00
9 1.04165e+00 1.02356e+00
10 1.03238e+00 1.01996e+00
11 1.03878e+00 1.02455e+00
12 1.03935e+00 1.01545e+00
13 1.02797e+00 1.01313e+00
14 1.01254e+00 1.00824e+00
15 1.01698e+00 1.01488e+00
16 1.01672e+00 1.00914e+00
17 1.00812e+00 1.00819e+00
18 1.01148e+00 1.01309e+00
19 1.00976e+00 1.01086e+00
20 1.01162e+00 1.01402e+00
21 1.01956e+00 1.00753e+00
22 9.98944e-01 1.00507e+00
23 9.98261e-01 1.01346e+00
24 1.00332e+00 1.00313e+00
25 9.99936e-01 1.00175e+00
26 1.00885e+00 1.00407e+00
27 1.00501e+00 1.00100e+00
28 1.00256e+00 9.99653e-01
29 1.00318e+00 1.00193e+00
30 1.00400e+00 1.00049e+00
31 9.94743e-01 1.00493e+00
32 9.91553e-01 1.00901e+00
33 9.96679e-01 9.97046e-01
34 9.93485e-01 9.96064e-01
35 9.96803e-01 1.00032e+00
36 9.92414e-01 9.97730e-01
37 9.89462e-01 9.98775e-01
38 9.89577e-01 1.00120e+00
39 9.88971e-01 9.99423e-01
40 9.81408e-01 1.00060e+00
41 9.87848e-01 9.99952e-01
42 9.86503e-01 9.95215e-01
43 9.75378e-01 9.95220e-01
44 9.72674e-01 9.99329e-01
45 9.80947e-01 1.00962e+00
46 9.81736e-01 9.86822e-01
47 9.84382e-01 9.90001e-01
48 9.78140e-01 1.00627e+00
49 9.78784e-01 9.88247e-01
50 9.70212e-01 9.88064e-01
51 9.80117e-01 1.00105e+00
52 9.84989e-01 9.91259e-01
53 9.81465e-01 9.87123e-01
54 9.76767e-01 9.88816e-01
55 9.65136e-01 9.95414e-01
56 9.72842e-01 9.95275e-01
57 9.87308e-01 9.87989e-01
58 9.74676e-01 9.92006e-01
59 9.61990e-01 9.87953e-01
60 9.59161e-01 9.94851e-01
61 9.81614e-01 9.93639e-01
62 9.68242e-01 9.83892e-01
63 9.62955e-01 9.81268e-01
64 9.78263e-01 9.87173e-01
65 9.75826e-01 9.83534e-01
66 9.66954e-01 9.90189e-01
67 9.81910e-01 9.85832e-01
68 9.70675e-01 9.87571e-01
69 9.67701e-01 9.84809e-01
70 9.59321e-01 9.86891e-01
71 9.61664e-01 9.88633e-01
72 9.59835e-01 9.85570e-01
73 9.53419e-01 9.90990e-01
74 9.67629e-01 9.80092e-01
75 9.66704e-01 9.86367e-01
76 9.73311e-01 9.81223e-01
77 9.55425e-01 9.82680e-01
78 9.55769e-01 9.82898e-01
79 9.57122e-01 9.81290e-01
80 9.64077e-01 9.82074e-01
