training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 80
epochs     = 1000
0 epoch  1 train loss  2 test loss
0 2.03884e+00 1.36931e+00
1 2.17911e+00 1.36888e+00
2 2.02377e+00 1.36857e+00
3 2.13490e+00 1.36830e+00
4 1.97622e+00 1.36806e+00
5 2.03279e+00 1.36778e+00
6 2.05985e+00 1.36740e+00
7 1.99784e+00 1.36712e+00
8 2.01510e+00 1.36680e+00
9 1.91061e+00 1.36649e+00
10 2.02959e+00 1.36619e+00
11 2.00348e+00 1.36592e+00
12 1.99725e+00 1.36554e+00
13 2.05098e+00 1.36521e+00
14 2.08357e+00 1.36484e+00
15 2.14183e+00 1.36442e+00
16 2.06197e+00 1.36407e+00
17 2.08092e+00 1.36371e+00
18 2.02106e+00 1.36335e+00
19 2.05426e+00 1.36307e+00
20 2.10355e+00 1.36276e+00
21 2.04976e+00 1.36246e+00
22 1.99949e+00 1.36215e+00
23 2.08056e+00 1.36190e+00
24 2.05917e+00 1.36157e+00
25 2.09126e+00 1.36129e+00
26 2.08136e+00 1.36104e+00
27 2.02882e+00 1.36071e+00
28 2.01920e+00 1.36043e+00
29 1.93165e+00 1.36015e+00
30 2.22513e+00 1.35971e+00
31 1.93412e+00 1.35944e+00
32 2.04788e+00 1.35915e+00
33 1.99085e+00 1.35885e+00
34 2.03973e+00 1.35856e+00
35 2.07320e+00 1.35823e+00
36 2.10141e+00 1.35800e+00
37 2.03938e+00 1.35767e+00
38 2.03631e+00 1.35735e+00
39 2.15751e+00 1.35710e+00
40 2.04323e+00 1.35683e+00
41 2.15652e+00 1.35652e+00
42 2.02647e+00 1.35621e+00
43 2.04728e+00 1.35595e+00
44 2.11266e+00 1.35570e+00
45 2.07782e+00 1.35543e+00
46 2.07306e+00 1.35517e+00
47 2.04145e+00 1.35493e+00
48 1.97942e+00 1.35463e+00
49 1.96012e+00 1.35438e+00
50 2.07059e+00 1.35410e+00
51 2.05244e+00 1.35378e+00
52 2.08029e+00 1.35354e+00
53 1.90158e+00 1.35333e+00
54 1.89234e+00 1.35311e+00
55 2.02789e+00 1.35285e+00
56 2.08117e+00 1.35255e+00
57 1.97166e+00 1.35231e+00
58 2.00011e+00 1.35205e+00
59 1.91685e+00 1.35180e+00
60 1.99230e+00 1.35154e+00
61 2.03544e+00 1.35131e+00
62 2.03333e+00 1.35105e+00
63 2.05866e+00 1.35074e+00
64 2.13025e+00 1.35053e+00
65 1.92002e+00 1.35032e+00
66 2.06464e+00 1.35004e+00
67 2.13496e+00 1.34983e+00
68 2.03690e+00 1.34966e+00
69 2.12784e+00 1.34940e+00
70 1.94595e+00 1.34914e+00
71 2.02206e+00 1.34886e+00
72 2.04001e+00 1.34858e+00
73 1.97412e+00 1.34835e+00
74 2.00502e+00 1.34805e+00
75 1.90323e+00 1.34783e+00
76 2.07441e+00 1.34761e+00
77 1.97459e+00 1.34734e+00
78 2.10536e+00 1.34708e+00
79 2.08015e+00 1.34682e+00
80 2.05755e+00 1.34662e+00
81 2.10212e+00 1.34637e+00
82 1.97577e+00 1.34614e+00
83 1.93850e+00 1.34587e+00
84 2.01984e+00 1.34560e+00
85 1.95765e+00 1.34541e+00
86 2.11794e+00 1.34516e+00
87 1.99974e+00 1.34490e+00
88 2.08535e+00 1.34463e+00
89 2.09835e+00 1.34437e+00
90 1.98205e+00 1.34404e+00
91 1.94424e+00 1.34384e+00
92 1.97148e+00 1.34362e+00
93 1.94844e+00 1.34339e+00
94 2.03086e+00 1.34315e+00
95 2.05035e+00 1.34289e+00
96 2.02662e+00 1.34271e+00
97 1.97803e+00 1.34249e+00
98 2.07751e+00 1.34228e+00
99 1.97652e+00 1.34209e+00
100 2.06262e+00 1.34185e+00
101 2.01500e+00 1.34165e+00
102 2.06105e+00 1.34147e+00
103 1.99240e+00 1.34127e+00
104 2.02938e+00 1.34106e+00
105 1.99315e+00 1.34091e+00
106 2.00561e+00 1.34071e+00
107 1.88695e+00 1.34054e+00
108 2.00253e+00 1.34030e+00
109 1.98157e+00 1.34012e+00
110 1.93341e+00 1.33993e+00
111 2.14989e+00 1.33974e+00
112 1.96887e+00 1.33958e+00
113 2.08434e+00 1.33939e+00
114 1.94157e+00 1.33923e+00
115 1.95130e+00 1.33907e+00
116 2.00646e+00 1.33889e+00
117 2.05194e+00 1.33874e+00
118 1.82954e+00 1.33857e+00
119 2.02097e+00 1.33839e+00
120 1.99299e+00 1.33820e+00
121 2.02610e+00 1.33805e+00
122 1.98516e+00 1.33785e+00
123 2.11123e+00 1.33761e+00
124 1.97082e+00 1.33738e+00
125 1.93746e+00 1.33713e+00
126 2.04197e+00 1.33697e+00
127 2.07653e+00 1.33679e+00
128 2.07100e+00 1.33659e+00
129 2.03386e+00 1.33646e+00
130 2.09449e+00 1.33629e+00
131 2.09963e+00 1.33610e+00
132 1.92747e+00 1.33594e+00
133 1.99775e+00 1.33573e+00
134 1.98647e+00 1.33558e+00
135 1.99325e+00 1.33542e+00
136 1.91679e+00 1.33527e+00
137 1.94454e+00 1.33510e+00
138 1.93776e+00 1.33493e+00
139 1.89527e+00 1.33477e+00
140 1.86991e+00 1.33459e+00
141 1.94588e+00 1.33440e+00
142 1.97277e+00 1.33421e+00
143 1.89938e+00 1.33401e+00
144 1.91907e+00 1.33387e+00
